1-cysPrx_C-consensus|PF10417,10_blade-consensus|PF21734,36.0
1-cysPrx_C-consensus|PF10417,117-like_vir-consensus|PF21578,24.0
1-cysPrx_C-consensus|PF10417,120_Rick_ant-consensus|PF12574,32.0
1-cysPrx_C-consensus|PF10417,12TM_1-consensus|PF09847,21.0
1-cysPrx_C-consensus|PF10417,14-3-3-consensus|PF00244,36.0
1-cysPrx_C-consensus|PF10417,17kDa_Anti_2-consensus|PF16998,20.0
1-cysPrx_C-consensus|PF10417,2-Hacid_dh-consensus|PF00389,33.0
1-cysPrx_C-consensus|PF10417,2-Hacid_dh_C-consensus|PF02826,23.0
1-cysPrx_C-consensus|PF10417,2-oxoacid_dh-consensus|PF00198,26.0
1-cysPrx_C-consensus|PF10417,2-oxogl_dehyd_N-consensus|PF16078,17.0
1-cysPrx_C-consensus|PF10417,2-ph_phosp-consensus|PF04029,40.0
1-cysPrx_C-consensus|PF10417,2-thiour_desulf-consensus|PF04463,30.0
1-cysPrx_C-consensus|PF10417,23ISL-consensus|PF16620,26.0
1-cysPrx_C-consensus|PF10417,23S_rRNA_IVP-consensus|PF05635,26.0
1-cysPrx_C-consensus|PF10417,2B_soluble-consensus|PF20758,25.0
1-cysPrx_C-consensus|PF10417,2CSK_N-consensus|PF08521,24.0
1-cysPrx_C-consensus|PF10417,2C_adapt-consensus|PF08793,11.0
1-cysPrx_C-consensus|PF10417,2EXR-consensus|PF20150,15.0
1-cysPrx_C-consensus|PF10417,2Fe-2S_Ferredox-consensus|PF11591,8.0
1-cysPrx_C-consensus|PF10417,2Fe-2S_thioredx-consensus|PF01257,23.0
1-cysPrx_C-consensus|PF10417,2H-phosphodiest-consensus|PF08975,44.0
1-cysPrx_C-consensus|PF10417,2HCT-consensus|PF03390,25.0
1-cysPrx_C-consensus|PF10417,2L_N_poxvirus-consensus|PF21584,27.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy-consensus|PF03171,21.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy_2-consensus|PF13532,28.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy_3-consensus|PF13640,15.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy_4-consensus|PF13661,15.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy_5-consensus|PF13759,31.0
1-cysPrx_C-consensus|PF10417,2OG-FeII_Oxy_6-consensus|PF20515,32.0
1-cysPrx_C-consensus|PF10417,2OG-Fe_Oxy_2-consensus|PF10014,31.0
1-cysPrx_C-consensus|PF10417,2TM-consensus|PF13239,19.0
1-cysPrx_C-consensus|PF10417,2_5_RNA_ligase2-consensus|PF13563,25.0
1-cysPrx_C-consensus|PF10417,3-dmu-9_3-mt-consensus|PF06983,34.0
1-cysPrx_C-consensus|PF10417,3-HAO-consensus|PF06052,25.0
